Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity
INC_001,Robbery,Training Proposal,Unknown,No significant event,Disturbance,Medium
INC_002,Homicide,Training Proposal,fire (0.95),No significant event,Disturbance,High
INC_003,Shooting,Training Proposal,fire (0.95),Person detected,Disturbance,High
INC_004,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_005,Homicide,Unknown,fire (0.95),Person detected,Murder,High
INC_006,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_007,Unknown,Unknown,fire (0.95),No significant event,Robbery,High
INC_008,Robbery,Unknown,fire (0.95),No significant event,Disturbance,High
INC_009,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_010,Unknown,Unknown,fire (0.95),No significant event,Drug Offense,Medium
INC_011,Unknown,Unknown,fire (0.95),No significant event,Theft,High
INC_012,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_013,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_014,Unknown,Unknown,Unknown,No significant event,Disturbance,Low
INC_015,Shooting,Unknown,fire (0.95),Person detected,Disturbance,High
INC_016,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_017,Homicide,Unknown,fire (0.95),No significant event,Disturbance,High
INC_018,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_019,Accident,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_020,Unknown,Unknown,fire (0.95),Person detected,Drug Offense,High
INC_021,Medical Emergency,Unknown,fire (0.95),No significant event,Disturbance,High
INC_022,Accident,Unknown,fire (0.95),Person detected,Drug Offense,High
INC_023,Accident,Unknown,fire (0.95),Person detected,Disturbance,High
INC_024,Accident,Unknown,fire (0.95),Person detected,Disturbance,High
INC_025,Unknown,Unknown,fire (0.95),Person detected,Disturbance,High
INC_026,Unknown,Unknown,fire (0.95),Person detected,Theft,Medium
INC_027,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_028,Shooting,Unknown,fire (0.95),No significant event,Disturbance,High
INC_029,Unknown,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_030,Shooting,Unknown,fire (0.95),Person detected,Disturbance,High
INC_031,Unknown,Unknown,fire (0.95),No significant event,Fire,High
INC_032,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_033,Shooting,Unknown,fire (0.95),Person detected,Disturbance,High
INC_034,Robbery,Unknown,fire (0.95),Person detected,Disturbance,High
INC_035,Shooting,Unknown,fire (0.95),No significant event,Disturbance,High
INC_036,Disturbance,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_037,Disturbance,Unknown,fire (0.95),No significant event,Disturbance,Medium
INC_038,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_039,Medical Emergency,Unknown,fire (0.95),Person detected,Disturbance,High
INC_040,Suspicious Situation,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_041,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_042,Unknown,Unknown,fire (0.95),Person detected,Disturbance,Medium
INC_043,Unknown,Unknown,fire (0.95),No significant event,Assault,Medium
INC_044,Assault,Unknown,fire (0.95),Person detected,Assault,High
INC_045,Accident,Unknown,fire (0.95),No significant event,Disturbance,Medium
